id,start_time,end_time,duration_hr,gap_hr
0,2021-12-15T00:23:40,2021-12-16T11:31:20,35.128,5.022
1,2021-12-16T16:32:40,2021-12-16T19:51:00,3.306,16.481
2,2021-12-17T12:19:50,2021-12-18T17:03:00,28.719,1.825
3,2021-12-18T18:52:30,2021-12-18T20:38:30,1.767,10.931
4,2021-12-19T07:34:20,2021-12-19T18:53:40,11.322,8.039
5,2021-12-20T02:56:00,2021-12-20T04:23:30,1.458,15.489
6,2021-12-20T19:52:50,2021-12-21T22:49:10,26.939,4.711
7,2021-12-22T03:31:50,2021-12-22T04:43:10,1.189,3.394
8,2021-12-22T08:06:50,2021-12-22T10:40:20,2.558,1.706
9,2021-12-22T12:22:40,2021-12-25T04:12:30,63.831,3.950
10,2021-12-25T08:09:30,2021-12-28T00:29:40,64.336,2.306
11,2021-12-28T02:48:00,2021-12-28T04:50:10,2.036,2.247
12,2021-12-28T07:05:00,2021-12-29T00:09:10,17.069,21.117
13,2021-12-29T21:16:10,2021-12-30T01:56:40,4.675,4.642
14,2021-12-30T06:35:10,2022-01-02T23:41:00,89.097,11.336
15,2022-01-03T11:01:10,2022-01-03T12:34:20,1.553,1.931
16,2022-01-03T14:30:10,2022-01-06T23:21:50,80.861,11.672
17,2022-01-07T11:02:10,2022-01-07T11:46:00,0.731,2.483
18,2022-01-07T14:15:00,2022-01-07T16:30:30,2.258,4.633
19,2022-01-07T21:08:30,2022-01-09T02:52:10,29.728,77.719
20,2022-01-12T08:35:20,2022-01-12T17:00:00,8.411,4.142
21,2022-01-12T21:08:30,2022-01-13T04:22:00,7.225,10.039
22,2022-01-13T14:24:20,2022-01-14T01:12:40,10.806,6.181
23,2022-01-14T07:23:30,2022-01-14T13:28:50,6.089,27.456
24,2022-01-15T16:56:10,2022-01-16T02:46:20,9.836,10.853
25,2022-01-16T13:37:30,2022-01-16T20:28:50,6.856,22.217
26,2022-01-17T18:41:50,2022-01-19T08:58:50,38.283,44.086
27,2022-01-21T05:04:00,2022-01-21T07:19:30,2.258,3.067
28,2022-01-21T10:23:30,2022-01-21T19:17:10,8.894,2.203
29,2022-01-21T21:29:20,2022-01-22T09:47:10,12.297,8.394
30,2022-01-22T18:10:50,2022-01-23T02:35:50,8.417,12.017
31,2022-01-23T14:36:50,2022-01-24T15:10:30,24.561,42.208
32,2022-01-26T09:23:00,2022-01-26T16:25:50,7.047,5.828
33,2022-01-26T22:15:30,2022-01-27T00:24:50,2.156,2.381
34,2022-01-27T02:47:40,2022-01-27T11:28:00,8.672,5.464
35,2022-01-27T16:55:50,2022-01-27T19:28:00,2.536,14.842
36,2022-01-28T10:18:30,2022-01-28T20:13:40,9.919,1.539
37,2022-01-28T21:46:00,2022-01-29T02:10:50,4.414,6.600
38,2022-01-29T08:46:50,2022-01-29T11:11:40,2.414,6.453
39,2022-01-29T17:38:50,2022-01-31T04:30:50,34.867,18.808
40,2022-01-31T23:19:20,2022-02-01T21:56:40,22.622,40.778
41,2022-02-03T14:43:20,2022-02-03T17:03:00,2.328,5.947
42,2022-02-03T22:59:50,2022-02-04T22:17:40,23.297,6.694
43,2022-02-05T04:59:20,2022-02-05T20:38:30,15.653,3.478
44,2022-02-06T00:07:10,2022-02-06T00:43:40,0.608,3.083
45,2022-02-06T03:48:40,2022-02-06T16:57:00,13.139,12.956
46,2022-02-07T05:54:20,2022-02-07T11:19:00,5.411,14.989
47,2022-02-08T02:18:20,2022-02-08T09:00:40,6.706,23.158
48,2022-02-09T08:10:10,2022-02-09T10:44:20,2.569,1.625
49,2022-02-09T12:21:50,2022-02-10T01:05:50,12.733,12.664
50,2022-02-10T13:45:40,2022-02-10T19:03:00,5.289,6.233
51,2022-02-11T01:17:00,2022-02-11T22:17:50,21.014,16.647
52,2022-02-12T14:56:40,2022-02-12T16:02:50,1.103,3.044
53,2022-02-12T19:05:30,2022-02-13T00:41:40,5.603,1.642
54,2022-02-13T02:20:10,2022-02-13T05:35:40,3.258,12.106
55,2022-02-13T17:42:00,2022-02-14T13:42:00,20.000,15.439
56,2022-02-15T05:08:20,2022-02-15T12:40:10,7.531,8.478
57,2022-02-15T21:08:50,2022-02-16T06:27:10,9.306,3.908
58,2022-02-16T10:21:40,2022-02-16T10:57:40,0.600,3.794
59,2022-02-16T14:45:20,2022-02-16T23:42:10,8.947,20.803
60,2022-02-17T20:30:20,2022-02-18T04:59:00,8.478,1.761
61,2022-02-18T06:44:40,2022-02-19T01:06:20,18.361,14.567
62,2022-02-19T15:40:20,2022-02-19T23:52:40,8.206,8.150
63,2022-02-20T08:01:40,2022-02-21T01:33:50,17.536,3.778
64,2022-02-21T05:20:30,2022-02-21T07:55:50,2.589,4.511
65,2022-02-21T12:26:30,2022-02-22T22:10:50,33.739,70.781
66,2022-02-25T20:57:40,2022-02-25T23:52:40,2.917,71.150
67,2022-02-28T23:01:40,2022-03-01T00:58:50,1.953,7.100
68,2022-03-01T08:04:50,2022-03-01T09:52:20,1.792,19.208
69,2022-03-02T05:04:50,2022-03-02T18:03:00,12.969,1.786
70,2022-03-02T19:50:10,2022-03-02T22:42:20,2.869,79.414
